Date,AAL.L,ABF.L,ANTO.L,AV.L,AZN.L,BA.L,BARC.L,BATS.L,BHP.L,BLND.L,BP.L,BT-A.L,CCL.L,CNA.L,CNE.L,CPG.L,CPI.L,DGE.L,EMG.L,GSK.L,HMSO.L,HSBA.L,IHG.L,III.L,ITV.L,JMAT.L,KGF.L,LAND.L,LGEN.L,LLOY.L,MKS.L,NG.L,NXT.L,PRU.L,PSN.L,PSON.L,REL.L,RIO.L,RR.L,SBRY.L,SGE.L,SHP.L,SMIN.L,SN.L,SSE.L,STAN.L,SVT.L,TATE.L,TSCO.L,ULVR.L,UU.L,VED.L,VOD.L,WPP.L,WTB.L,XTA.L
2004-01-02,1295.100830078125,586.983642578125,211.0234832763672,486.15692138671875,2688.195068359375,168.07420349121094,462.44146728515625,763.3009643554688,488.89422607421875,486.3523864746094,449.81707763671875,187.9085235595703,2258.73974609375,207.16380310058594,188.63365173339844,418.22625732421875,2286.419921875,741.8432006835938,274.3687438964844,1292.5101318359375,1998.8175048828125,765.6790771484375,1673.9842529296875,486.0172424316406,121.9365463256836,1067.505126953125,279.33807373046875,934.9368286132812,100.48938751220703,293.084716796875,272.6458435058594,439.47418212890625,1139.427978515625,381.2043151855469,532.7647705078125,623.052490234375,552.301513671875,1272.931884765625,60.86338806152344,355.9836120605469,185.21893310546875,5.022526741027832,984.130126953125,463.6690368652344,670.118408203125,742.849853515625,1132.836669921875,370.0377502441406,322.8464660644531,1148.0252685546875,489.5711975097656,2.3040876388549805,163.98719787597656,554.6911010742188,944.6766357421875,631.5
2004-01-05,1322.792724609375,578.5200805664062,215.6023406982422,488.8414306640625,2632.64599609375,168.8179931640625,464.27655029296875,760.8291015625,495.33355712890625,486.3523864746094,449.81707763671875,187.9085235595703,2269.69482421875,207.65359497070312,186.2635040283203,415.20355224609375,2216.206298828125,727.9304809570312,272.48822021484375,1274.5999755859375,1998.8175048828125,763.5233154296875,1681.8253173828125,482.48675537109375,122.68157196044922,1047.6541748046875,286.2843322753906,937.754150390625,100.98320007324219,295.17938232421875,268.40399169921875,437.5742492675781,1133.46240234375,385.94976806640625,524.58740234375,623.052490234375,550.2306518554688,1287.657470703125,60.17957305908203,346.5826110839844,192.54396057128906,5.081286907196045,985.6201782226562,460.43182373046875,663.199951171875,747.6375122070312,1111.29443359375,371.77227783203125,319.07061767578125,1143.6138916015625,486.11700439453125,2.379425048828125,168.327392578125,556.6776123046875,959.09912109375,653.0
2004-01-06,1312.1419677734375,584.9921264648438,221.37554931640625,491.28216552734375,2601.89453125,166.33892822265625,470.6993408203125,750.4473876953125,484.6837463378906,485.5315856933594,447.83868408203125,183.94735717773438,2243.801025390625,206.67408752441406,187.923828125,413.55487060546875,2181.103759765625,713.5209350585938,277.7535705566406,1253.704833984375,2004.9677734375,763.954345703125,1684.9664306640625,477.40191650390625,122.18487548828125,1052.6171875,287.5246887207031,935.8759765625,101.72392272949219,293.24591064453125,262.9840393066406,433.2314453125,1252.774169921875,391.0904235839844,508.9762878417969,620.572021484375,548.1618041992188,1270.4776611328125,59.837608337402344,345.4501647949219,194.3752899169922,5.062632083892822,974.4451904296875,465.6611328125,652.82177734375,748.0361938476562,1097.18017578125,366.8576965332031,328.1959533691406,1141.40869140625,483.6488952636719,2.3888421058654785,169.2659149169922,563.1329956054688,961.066162109375,642.0
2004-01-07,1319.597412109375,587.4816284179688,218.98663330078125,479.8114318847656,2588.007080078125,163.8599395751953,468.6348571777344,738.5825805664062,470.5669250488281,494.15057373046875,436.4634704589844,182.95704650878906,2253.76025390625,205.20486450195312,177.73355102539062,412.73040771484375,2101.537353515625,712.5269165039062,281.3266296386719,1226.8399658203125,2008.04296875,769.1278076171875,1703.7923583984375,476.22149658203125,125.1650390625,1031.112548828125,285.78802490234375,935.8759765625,98.26727294921875,289.8622131347656,263.6910400390625,429.1589660644531,1230.9002685546875,381.0462341308594,520.3749389648438,619.5800170898438,546.9785766601562,1236.936279296875,59.837608337402344,343.7511291503906,196.46820068359375,5.055171012878418,933.4708862304688,460.6807556152344,648.3740234375,730.0833740234375,1092.723388671875,370.61590576171875,329.7692565917969,1143.06201171875,480.194580078125,2.4045372009277344,169.50045776367188,569.5888061523438,961.066162109375,627.0
2004-01-08,1274.8653564453125,590.966796875,216.995849609375,485.6688232421875,2580.072021484375,165.5952606201172,468.40557861328125,740.5601806640625,470.5669250488281,500.7173767089844,437.6999816894531,182.21437072753906,2273.67822265625,205.93939208984375,176.7830810546875,416.30255126953125,2218.55224609375,712.5269165039062,294.8663024902344,1218.880126953125,2008.04296875,769.5590209960938,1744.58349609375,488.7529602050781,128.3935089111328,1058.6827392578125,289.50927734375,950.9029541015625,100.98320007324219,296.95166015625,266.99005126953125,425.08770751953125,1238.85498046875,383.5769958496094,515.4190063476562,626.02880859375,547.8665771484375,1233.6644287109375,59.666629791259766,344.09100341796875,198.82264709472656,5.134450912475586,943.1556396484375,460.43182373046875,642.4436645507812,740.4561157226562,1075.6373291015625,371.77227783203125,327.2519226074219,1163.46435546875,480.68792724609375,2.398259401321411,172.1983642578125,582.0035400390625,964.3438110351562,637.0
2004-01-09,1267.410400390625,591.9620971679688,215.00506591796875,487.62127685546875,2584.03955078125,166.58685302734375,471.6169738769531,749.9529418945312,458.9263916015625,504.4110107421875,429.5395202636719,182.95704650878906,2269.69482421875,206.42916870117188,176.31390380859375,406.1357116699219,2237.275634765625,705.0737915039062,291.8575439453125,1215.8955078125,2048.0185546875,756.6253662109375,1739.8736572265625,496.5854187011719,131.3736114501953,1053.1683349609375,288.7650146484375,959.3551025390625,99.9955825805664,296.6294250488281,261.3345031738281,430.5172424316406,1252.774169921875,379.0690002441406,515.4190063476562,626.02880859375,539.2919311523438,1202.5770263671875,59.666629791259766,342.61846923828125,199.0841827392578,5.043979644775391,931.2359619140625,451.71630859375,642.938232421875,728.0886840820312,1074.8948974609375,367.72503662109375,326.6224365234375,1161.258544921875,475.7523193359375,2.322920799255371,173.95785522460938,579.5203247070312,956.47705078125,628.5
2004-01-12,1272.7352294921875,590.966796875,212.0189208984375,480.54364013671875,2539.401611328125,162.6204833984375,466.5705261230469,742.5374755859375,461.65087890625,503.1800231933594,436.4634704589844,179.73861694335938,2238.821533203125,206.67408752441406,178.68405151367188,409.1582946777344,2206.84423828125,700.6018676757812,290.54119873046875,1205.9453125,2008.04296875,749.2964477539062,1779.09765625,497.76678466796875,129.13848876953125,1049.8603515625,288.7650146484375,957.9461669921875,100.24249267578125,296.95166015625,261.5701904296875,432.145751953125,1258.740234375,376.458984375,515.4190063476562,625.0366821289062,533.3780517578125,1212.39404296875,57.7005500793457,332.9912414550781,199.60751342773438,5.113929748535156,922.2958984375,454.2063293457031,642.938232421875,720.9075927734375,1071.92333984375,366.5686340332031,325.0491943359375,1161.258544921875,481.6748962402344,2.3103654384613037,171.61181640625,575.0512084960938,954.51025390625,634.0
2004-01-13,1269.5404052734375,586.48583984375,210.02806091308594,472.97802734375,2519.56298828125,162.37258911132812,469.0937194824219,743.5263671875,460.6601867675781,492.50885009765625,438.6889953613281,178.99591064453125,2238.821533203125,201.0419464111328,177.49288940429688,414.9287414550781,2209.1904296875,696.6268920898438,287.7203674316406,1204.949951171875,1969.6038818359375,740.2423095703125,1775.95751953125,500.50177001953125,135.34710693359375,1049.8603515625,286.7804260253906,945.7369995117188,98.51417541503906,292.1180419921875,258.5066833496094,425.3590087890625,1268.6824951171875,371.5556335449219,525.3309326171875,632.973876953125,532.491455078125,1205.0316162109375,57.27309799194336,325.4027404785156,200.6538848876953,5.024392127990723,923.7861938476562,448.4789733886719,637.0078125,704.1515502929688,1066.7236328125,362.2321472167969,311.8332824707031,1151.333251953125,477.2337646484375,2.2915308475494385,174.19247436523438,593.4251708984375,953.19921875,631.0
2004-01-14,1281.255859375,573.1392211914062,213.01426696777344,475.4183349609375,2503.691162109375,160.8851776123047,478.49853515625,742.0430297851562,463.1368713378906,500.30694580078125,430.2812805175781,179.2434539794922,2310.527099609375,197.3688507080078,174.6536102294922,423.1724548339844,2197.4833984375,691.161376953125,291.29345703125,1213.9051513671875,1951.1536865234375,743.691650390625,1807.337646484375,504.81573486328125,137.33383178710938,1054.2711181640625,285.53997802734375,957.9461669921875,103.20533752441406,297.11279296875,260.39190673828125,429.70184326171875,1273.6539306640625,387.9269104003906,529.791259765625,641.9025268554688,546.3872680664062,1216.4847412109375,57.9570198059082,326.7618713378906,203.00831604003906,5.00107479095459,939.4307861328125,444.4947509765625,637.501953125,712.9285888671875,1064.4951171875,364.25579833984375,310.8893127441406,1151.885009765625,476.7403259277344,2.194218873977661,175.3655242919922,608.32275390625,957.132568359375,635.5
2004-01-15,1253.564208984375,578.61669921875,210.1276092529297,486.64495849609375,2486.82861328125,162.1246795654297,484.233154296875,737.5938110351562,455.9544372558594,495.7922058105469,431.7648620605469,181.4716339111328,2362.31494140625,199.8175506591797,172.9933624267578,420.9740905761719,2298.11767578125,692.65185546875,292.4217529296875,1196.9901123046875,1952.6904296875,739.8116455078125,1807.337646484375,509.9013977050781,139.32057189941406,1053.1683349609375,284.2995300292969,955.128662109375,105.92124938964844,300.65740966796875,254.97193908691406,431.0600280761719,1270.6712646484375,394.095703125,526.81787109375,648.3515014648438,561.1710815429688,1179.6705322265625,59.666629791259766,325.4027404785156,207.71730041503906,5.024392127990723,937.19580078125,437.2732849121094,637.501953125,730.0833740234375,1054.8380126953125,359.05218505859375,304.59600830078125,1159.052978515625,474.7655334472656,2.1220200061798096,171.25991821289062,624.2136840820312,946.6434936523438,635.0
