Date,0001.HK,0002.HK,0003.HK,0004.HK,0005.HK,0006.HK,0008.HK,0011.HK,0012.HK,0016.HK,0017.HK,0019.HK,0023.HK,0066.HK,0083.HK,0101.HK,0144.HK,0179.HK,0267.HK,0291.HK,0293.HK,0330.HK,0551.HK,0762.HK,0883.HK,0941.HK,0992.HK,1038.HK,1199.HK,2388.HK
2004-01-01,18.420127868652344,14.677433013916016,1.9161878824234009,1.5096896886825562,52.16307830810547,11.140806198120117,1.2920511960983276,36.725181579589844,7.925623416900635,29.90447998046875,9.188982963562012,21.081228256225586,9.62698745727539,5.4593305587768555,1.6783767938613892,4.093476295471191,4.063266754150391,25.195528030395508,7.959989547729492,2.817626953125,7.260690212249756,191.32220458984375,7.402516841888428,3.9977774620056152,,9.326111793518066,1.6057244539260864,7.198976039886475,4.276179790496826,5.206089019775391
2004-01-02,18.794513702392578,14.836545944213867,1.9485278129577637,1.5272436141967773,52.80179214477539,11.177094459533691,1.3593732118606567,36.90519714355469,8.110478401184082,30.83898162841797,9.409517288208008,21.389944076538086,9.728111267089844,5.512592792510986,1.7163060903549194,4.175755023956299,4.182774066925049,25.70713233947754,8.425846099853516,2.8976728916168213,7.260690212249756,196.51312255859375,7.524158000946045,4.135631084442139,,9.561226844787598,1.6902356147766113,7.4285125732421875,4.527719974517822,5.27740478515625
2004-01-05,19.767940521240234,14.637662887573242,1.9081023931503296,1.5447983741760254,53.01470184326172,11.177094459533691,1.3593732118606567,36.725181579589844,8.965428352355957,32.94165802001953,9.997614860534668,21.963281631469727,9.82923412322998,5.539225101470947,1.8300944566726685,4.360889911651611,4.501462459564209,25.5792179107666,8.446093559265137,3.025747776031494,7.260690212249756,192.0637664794922,7.819563388824463,4.301056385040283,,9.776742935180664,1.702309250831604,7.595442771911621,4.758296489715576,5.27740478515625
2004-01-06,19.91769790649414,14.637662887573242,1.8676763772964478,1.6185275316238403,52.80179214477539,11.140806198120117,1.372318983078003,37.085227966308594,9.011641502380371,33.525718688964844,10.365174293518066,22.27201271057129,10.071932792663574,5.565854549407959,1.896470308303833,4.360889911651611,4.421789646148682,25.835006713867188,8.142277717590332,2.9617104530334473,7.334529399871826,200.59165954589844,7.697924613952637,4.356198310852051,,9.855114936828613,1.7385286092758179,7.44937801361084,4.674449443817139,5.348720073699951
2004-01-07,19.842815399169922,14.677433013916016,1.9161878824234009,1.6325714588165283,53.6534538269043,11.177094459533691,1.4111580848693848,37.26525115966797,8.94232177734375,33.408905029296875,9.777079582214355,22.823293685913086,9.82923412322998,5.619116306304932,1.8585402965545654,4.443169593811035,4.401871681213379,25.5792179107666,8.324564933776855,3.0097384452819824,7.383753776550293,196.142333984375,7.784810543060303,4.411339282989502,,10.051040649414062,1.7385286092758179,7.4911088943481445,4.967913627624512,5.455696105957031
2004-01-08,19.318668365478516,14.518333435058594,1.9000166654586792,1.5939512252807617,53.44053268432617,11.140806198120117,1.424104928970337,36.90519714355469,8.803681373596191,32.47439193725586,10.144640922546387,22.27201271057129,9.748336791992188,5.725641250610352,1.8775054216384888,4.402029991149902,4.481544017791748,25.70713233947754,8.263808250427246,3.1538214683532715,7.408365726470947,190.95143127441406,7.593664646148682,4.852474212646484,,10.521267890930176,1.7626746892929077,7.386776924133301,5.072722434997559,5.366550922393799
2004-01-09,20.067453384399414,14.47855281829834,1.883846640586853,1.6185275316238403,53.86634826660156,11.140806198120117,1.4629435539245605,36.90519714355469,9.381348609924316,33.75934982299805,10.879758834838867,22.602781295776367,9.9910306930542,6.1251044273376465,1.9723292589187622,4.484309196472168,4.561217308044434,27.11397361755371,8.668891906738281,3.169830083847046,7.236077785491943,192.4345245361328,7.697924613952637,4.990329265594482,,10.717192649841309,1.7868205308914185,7.5119757652282715,5.156567573547363,5.330890655517578
2004-01-12,20.741361618041992,14.637662887573242,1.8919321298599243,1.6255489587783813,53.6534538269043,11.213383674621582,1.424104928970337,37.085227966308594,9.543097496032715,34.343414306640625,11.98243522644043,22.823293685913086,9.788786888122559,6.258260726928711,2.010258197784424,4.525449752807617,4.401871681213379,26.986072540283203,8.628385543823242,3.1378109455108643,7.285303115844727,191.32220458984375,7.784810543060303,4.852474212646484,,10.521267890930176,1.7626746892929077,7.553708553314209,4.884065628051758,5.241746425628662
2004-01-13,21.115753173828125,14.796765327453613,1.9485278129577637,1.6676801443099976,53.6534538269043,11.249673843383789,1.4111580848693848,37.26525115966797,9.427562713623047,33.99297332763672,11.61487865447998,23.043811798095703,9.910136222839355,6.231627941131592,1.896470308303833,4.525449752807617,4.342116832733154,26.346603393554688,8.77016544342041,3.089783191680908,7.260690212249756,187.6144256591797,7.767430305480957,4.852474212646484,,10.59963607788086,1.702309250831604,7.678906440734863,4.716373920440674,5.206089019775391
2004-01-14,21.789663314819336,14.916095733642578,1.9727838039398193,1.6711913347244263,52.80179214477539,11.285964965820312,1.4370512962341309,37.26525115966797,9.496883392333984,34.10979080200195,11.688389778137207,23.15406608581543,9.82923412322998,6.151735782623291,1.934399962425232,4.587160587310791,4.421789646148682,26.346603393554688,8.871438026428223,3.0097384452819824,7.162243366241455,187.24362182617188,7.802186012268066,4.797333240509033,,10.325338363647461,1.6902356147766113,7.616308212280273,4.946951866149902,5.170430660247803
