Date,AA,ABT,AEP,AES,AIG,ALL,AMGN,ATI,AXP,BA,BAC,BAX,BDK,BMY,C,CAT,CCU,CI,CL,CMCSA,COF,CPB,CSCO,CVX,DD,DIS,EP,ETR,EXC,F,FDX,GD,GE,GS,HAL,HD,HIG,HNZ,HON,HPQ,IBM,INTC,IP,JNJ,JPM,KO,MCD,MDT,MMM,MO,MRK,MS,MSFT,NSC,ORCL,PEP,PFE,PG,ROK,SLB,SO,T,TGT,TWX,TXN,UIS,UPS,USB,VZ,WFC,WMB,WMT,WY,XOM,XRX
2004-01-02,69.37454223632812,11.818816184997559,12.995920181274414,6.199930191040039,804.2472534179688,25.569488525390625,42.7679328918457,10.93104362487793,30.56107521057129,28.913623809814453,24.004817962646484,10.891541481018066,6.139999866485596,12.909445762634277,295.2132568359375,24.153339385986328,3.8802340030670166,17.340675354003906,15.04483413696289,7.62261962890625,44.193077087402344,14.169414520263672,15.87021255493164,18.911088943481445,30.946334838867188,18.735685348510742,10.079999923706055,12.206637382507324,10.434232711791992,7.572426795959473,55.332637786865234,28.069793701171875,87.56751251220703,69.70032501220703,9.417290687561035,21.098791122436523,36.88761520385742,35.97999954223633,19.508615493774414,6.455585956573486,46.69050216674805,18.473756790161133,18.108503341674805,27.993694305419922,20.49881935119629,13.254986763000488,13.842063903808594,31.091821670532227,37.39200210571289,3.5761163234710693,20.692554473876953,29.813709259033203,16.947952270507812,14.865989685058594,10.552001953125,25.74965476989746,13.93302059173584,27.377012252807617,22.079368591308594,17.744237899780273,11.370187759399414,4.252561569213867,23.127849578857422,26.749740600585938,18.34056282043457,148.10000610351562,38.06773376464844,14.484894752502441,10.687301635742188,15.8607759475708,3.3659050464630127,11.399332046508789,11.413293838500977,19.87161636352539,16.301156997680664
2004-01-05,71.64697265625,11.818816184997559,13.008596420288086,6.324188709259033,816.6498413085938,25.316486358642578,42.7679328918457,11.197257995605469,30.829893112182617,28.968704223632812,24.074647903442383,10.942083358764648,6.159999847412109,12.869853019714355,299.9729919433594,24.810867309570312,3.919499158859253,17.18951988220215,15.175213813781738,7.692005157470703,45.8586540222168,14.280818939208984,16.210527420043945,19.276582717895508,31.533222198486328,19.107707977294922,10.079999923706055,12.076581001281738,10.481661796569824,7.81259822845459,55.38152313232422,27.985280990600586,88.86190032958984,69.73619842529297,9.449846267700195,21.104801177978516,37.356693267822266,36.16999816894531,19.608116149902344,6.597742080688477,47.455509185791016,18.904582977294922,18.47287940979004,28.156269073486328,20.459636688232422,13.270782470703125,13.976076126098633,31.310169219970703,38.10511779785156,3.549287796020508,21.110370635986328,30.122411727905273,17.37396240234375,14.865989685058594,10.881250381469727,26.187503814697266,14.305346488952637,27.51253318786621,21.786684036254883,18.02018165588379,11.370187759399414,4.400603294372559,22.9316463470459,26.676326751708984,18.728513717651367,152.0,38.212440490722656,14.34078311920166,10.996545791625977,15.937127113342285,3.5814058780670166,11.360107421875,11.564528465270996,20.336252212524414,16.5770320892334
2004-01-06,71.11117553710938,11.732860565185547,12.88184642791748,6.363430023193359,814.7234497070312,25.12822914123535,42.90511703491211,10.914905548095703,30.88109588623047,28.872303009033203,24.035181045532227,10.985403060913086,6.320000171661377,12.931435585021973,300.27410888671875,24.37251853942871,3.9070048332214355,17.3376522064209,15.275270462036133,7.701256275177002,46.74649429321289,14.360387802124023,16.400310516357422,19.1708927154541,31.172054290771484,19.155202865600586,7.679999828338623,12.063783645629883,10.405774116516113,7.789053440093994,55.09629440307617,27.89447784423828,88.2709732055664,69.31999206542969,9.713946342468262,21.333749771118164,37.244110107421875,36.45000076293945,19.859813690185547,6.625616550445557,47.46061325073242,18.898836135864258,18.544902801513672,28.031641006469727,20.974620819091797,13.215492248535156,14.143582344055176,31.412927627563477,37.988521575927734,3.522458791732788,21.00921058654785,30.227054595947266,17.43570899963379,14.828713417053223,10.921399116516113,26.35376739501953,14.297514915466309,27.37425994873047,22.187545776367188,17.82538414001465,11.37775707244873,4.411994934082031,23.64902687072754,26.676326751708984,18.766063690185547,149.1999969482422,37.979862213134766,14.12711238861084,11.178461074829102,15.885321617126465,3.6121907234191895,11.626017570495605,11.520047187805176,20.19930648803711,16.876916885375977
2004-01-07,70.5754165649414,11.856734275817871,12.995920181274414,6.572711944580078,824.7173461914062,25.33414649963379,43.474456787109375,10.301801681518555,30.970706939697266,29.113313674926758,23.980541229248047,11.187560081481934,6.360000133514404,13.019404411315918,300.69586181640625,24.106584548950195,3.9248545169830322,17.382999420166016,15.357129096984863,7.907083511352539,46.89323425292969,14.089841842651367,16.7275333404541,18.92649269104004,31.239778518676758,19.471817016601562,8.15999984741211,12.142671585083008,10.469010353088379,8.00096607208252,54.550209045410156,28.489320755004883,89.143310546875,70.77671813964844,9.598176002502441,21.62896728515625,38.119728088378906,36.099998474121094,19.74275016784668,6.511332988739014,47.31782913208008,19.524972915649414,18.75251007080078,28.042449951171875,21.282501220703125,13.131253242492676,14.188252449035645,31.014772415161133,37.333702087402344,3.4759979248046875,21.035600662231445,30.374202728271484,17.41718292236328,14.449769973754883,11.218522071838379,26.015676498413086,14.4190092086792,27.130878448486328,22.906557083129883,17.383892059326172,11.347495079040527,4.477152347564697,23.465097427368164,26.676326751708984,18.74103355407715,148.60000610351562,37.855831146240234,14.117165565490723,11.201440811157227,15.724449157714844,3.629293203353882,11.656535148620605,11.498692512512207,20.052587509155273,16.936887741088867
2004-01-08,71.42526245117188,11.507856369018555,13.198715209960938,6.526930809020996,831.9423217773438,25.52242088317871,43.460731506347656,10.51154899597168,30.88109588623047,29.512693405151367,23.992698669433594,11.053994178771973,6.539999961853027,12.922638893127441,301.96124267578125,23.919536590576172,3.99981689453125,17.35277557373047,15.393507957458496,8.092100143432617,47.56828689575195,14.068617820739746,17.237993240356445,18.946311950683594,31.89438247680664,19.75676918029785,9.600000381469727,12.213040351867676,10.470595359802246,8.052763938903809,54.1019172668457,28.971439361572266,90.74720764160156,70.86283874511719,9.760982513427734,21.448232650756836,38.83269500732422,36.060001373291016,20.690961837768555,6.882055759429932,47.450401306152344,19.6685791015625,19.057567596435547,28.17251968383789,21.646350860595703,13.194437980651855,14.238508224487305,31.046897888183594,37.08253860473633,3.474689245223999,21.145553588867188,30.673734664916992,17.386308670043945,14.418706893920898,11.435349464416504,25.500242233276367,14.285752296447754,27.415748596191406,22.970184326171875,17.481281280517578,11.347495079040527,4.55810546875,23.152374267578125,27.29295539855957,19.929950714111328,153.8000030517578,37.545684814453125,14.022764205932617,11.373018264770508,15.719000816345215,3.7011287212371826,11.608580589294434,11.724651336669922,20.00366973876953,16.984872817993164
2004-01-09,68.82024383544922,11.358702659606934,13.105768203735352,6.598870277404785,832.4241333007812,25.898956298828125,43.21379089355469,10.075921058654785,30.650686264038086,29.361202239990234,23.78023338317871,10.938471794128418,6.400000095367432,12.759897232055664,300.5754699707031,23.51041030883789,4.090843200683594,17.31045150756836,15.30862045288086,8.131417274475098,46.97395706176758,13.983738899230957,17.329614639282227,18.74153709411621,30.908714294433594,19.685529708862305,9.600000381469727,12.102163314819336,10.372577667236328,7.7984724044799805,53.00978088378906,28.864994049072266,89.48094177246094,69.96583557128906,10.130002975463867,21.502456665039062,38.870216369628906,35.439998626708984,20.450979232788086,6.7343220710754395,46.51710891723633,19.513477325439453,18.81606674194336,27.852811813354492,21.69672203063965,13.054909706115723,14.04307746887207,30.88636016845703,36.956966400146484,3.455057382583618,20.727739334106445,30.074647903442383,17.077600479125977,14.238551139831543,11.379136085510254,25.367233276367188,14.132902145385742,27.556793212890625,22.84929656982422,17.529985427856445,11.290756225585938,4.328465938568115,22.7170467376709,27.01401138305664,19.88615608215332,149.10000610351562,37.15286636352539,13.83890438079834,11.042119026184082,15.645371437072754,3.7148120403289795,11.421128273010254,11.57164478302002,19.705324172973633,16.74497413635254
2004-01-12,66.4554214477539,11.234827995300293,13.135339736938477,6.5923333168029785,848.9209594726562,26.08135223388672,43.23435974121094,10.051718711853027,30.529083251953125,29.202836990356445,23.825763702392578,10.898762702941895,6.360000133514404,12.988617897033691,300.3343811035156,24.09489631652832,4.181869983673096,17.364858627319336,15.269198417663574,8.1776704788208,47.11336898803711,14.243684768676758,17.689558029174805,18.649076461791992,31.25480842590332,19.693450927734375,9.600000381469727,11.987028121948242,10.318821907043457,7.72783088684082,55.57713317871094,28.7241153717041,90.2969741821289,70.1667709350586,10.148094177246094,21.207229614257812,39.207950592041016,35.119998931884766,20.4919490814209,6.879268169403076,46.69050216674805,19.61688232421875,18.90926742553711,28.38926887512207,21.713523864746094,13.16547966003418,14.020745277404785,31.2908878326416,37.30229568481445,3.476654052734375,20.186784744262695,30.736799240112305,17.02203369140625,14.213704109191895,11.772624969482422,25.400489807128906,13.956535339355469,27.72548484802246,22.84292221069336,17.318967819213867,11.283190727233887,4.4325456619262695,22.894859313964844,27.366365432739258,20.52440643310547,154.10000610351562,37.32859802246094,13.809085845947266,11.25352668762207,15.530852317810059,3.75585675239563,11.445107460021973,11.568084716796875,19.984113693237305,16.828937530517578
2004-01-13,64.94046783447266,11.294572830200195,13.093093872070312,6.513850688934326,836.7590942382812,26.051921844482422,43.728240966796875,9.777432441711426,30.63789176940918,29.085765838623047,23.765058517456055,10.819341659545898,6.440000057220459,12.984214782714844,298.8283996582031,24.109495162963867,4.253262042999268,17.41322898864746,15.33590030670166,8.21467113494873,47.1427001953125,13.798069953918457,17.597942352294922,18.649076461791992,31.036638259887695,19.535144805908203,8.15999984741211,11.99341869354248,10.31250286102295,7.6666107177734375,56.23733139038086,28.84933853149414,88.94633483886719,70.08782958984375,10.122766494750977,21.134944915771484,39.03284454345703,34.88999938964844,20.515361785888672,6.762196063995361,45.747013092041016,19.295196533203125,18.718612670898438,28.31342315673828,21.77509880065918,13.086503028869629,13.758305549621582,31.08541488647461,37.17222595214844,3.480578899383545,20.085636138916016,30.68423843383789,16.935598373413086,14.387643814086914,11.531715393066406,25.295185089111328,13.772335052490234,27.57337760925293,22.74747085571289,17.367671966552734,11.249154090881348,4.369767189025879,23.446699142456055,27.219545364379883,20.142704010009766,149.89999389648438,37.16838455200195,13.650074005126953,11.207564353942871,15.345444679260254,3.632716178894043,11.49959945678711,11.59299373626709,19.89607810974121,16.493078231811523
2004-01-14,66.43695068359375,11.312363624572754,13.257863998413086,6.540011405944824,838.2034912109375,26.246084213256836,43.93402099609375,9.599956512451172,31.20110321044922,29.68484878540039,24.05340003967285,11.050381660461426,6.460000038146973,13.006214141845703,301.2380065917969,24.46018409729004,4.197933197021484,17.3376522064209,15.287394523620605,8.288679122924805,47.53892517089844,13.888246536254883,17.931697845458984,18.847232818603516,30.878637313842773,19.709278106689453,8.15999984741211,12.153336524963379,10.405774116516113,7.6195197105407715,56.2699089050293,29.235767364501953,90.04371643066406,71.31491088867188,9.909314155578613,21.369905471801758,39.83336639404297,35.349998474121094,21.170915603637695,6.884840488433838,46.0581169128418,19.18030548095703,18.769458770751953,28.17792320251465,21.9542293548584,13.110196113586426,13.998406410217285,31.57987403869629,37.54001235961914,3.5257296562194824,20.358304977416992,30.80511474609375,17.102296829223633,14.25718879699707,11.716415405273438,25.350614547729492,13.77624797821045,27.664648056030273,23.084718704223633,17.276775360107422,11.252935409545898,4.407765865325928,23.514137268066406,27.425085067749023,20.324167251586914,151.10000610351562,37.45266342163086,13.6997709274292,11.29335880279541,15.35908317565918,3.6908650398254395,11.582428932189941,11.756671905517578,19.89607810974121,16.493078231811523
2004-01-15,65.53167724609375,11.426758766174316,13.156460762023926,6.481150150299072,837.481689453125,26.246084213256836,43.316680908203125,9.438612937927246,31.796327590942383,29.636640548706055,23.880382537841797,11.339186668395996,6.440000057220459,13.18214225769043,298.2257995605469,24.47486686706543,4.064069747924805,17.382999420166016,15.478398323059082,8.265552520751953,49.233863830566406,13.792760848999023,17.77463722229004,18.589616775512695,30.615278244018555,19.645954132080078,9.119999885559082,12.106432914733887,10.38364028930664,7.5583014488220215,56.49812698364258,29.00642204284668,90.04371643066406,72.57788848876953,9.713946342468262,21.345794677734375,39.89592361450195,35.150001525878906,21.35236167907715,7.05208158493042,47.95021057128906,18.990747451782227,18.583030700683594,28.091232299804688,21.78628921508789,13.09177303314209,14.04307746887207,31.329437255859375,37.80912780761719,3.549940586090088,20.19997787475586,31.43047523498535,17.003515243530273,14.145368576049805,11.957326889038086,25.217588424682617,13.646915435791016,27.520828247070312,23.161073684692383,17.10471534729004,11.215105056762695,4.417679786682129,23.943336486816406,27.3516845703125,21.05629539489746,151.60000610351562,37.390625,14.151956558227539,11.299483299255371,15.405435562133789,3.601928472518921,11.658713340759277,11.69974136352539,19.700437545776367,16.409114837646484
